Ana Garcia, economica, AJN6445, 16.36 kg, Sobrepeso: No, Pagado: No aplica, Estado: Registrada
Laura Fernandez, ejecutiva, AJI5899, 18.59 kg, Sobrepeso: No, Pagado: No aplica, Estado: No registrada
Lucia Sanchez, ejecutiva, AJI8508, 17.22 kg, Sobrepeso: No, Pagado: No aplica, Estado: Registrada
Ana Martinez, ejecutiva, AJI3372, 20.69 kg, Sobrepeso: No, Pagado: No aplica, Estado: No registrada
Sofia Rodriguez, ejecutiva, AJN6445, 43.83 kg, Sobrepeso: No, Pagado: No aplica, Estado: Registrada
Ana Lopez, ejecutiva, AJN8304, 40.06 kg, Sobrepeso: No, Pagado: No aplica, Estado: No registrada
Lucia Garcia, ejecutiva, AJN3456, 27.76 kg, Sobrepeso: No, Pagado: No aplica, Estado: Registrada
Laura Torres, ejecutiva, AJI9370, 39.87 kg, Sobrepeso: No, Pagado: No aplica, Estado: Registrada
Ana Gomez, economica, AJI3372, 34.63 kg, Sobrepeso: No, Pagado: No aplica, Estado: No registrada
Luis Gomez, ejecutiva, AJN8321, 18.58 kg, Sobrepeso: No, Pagado: No aplica, Estado: No registrada
Pedro Gomez, ejecutiva, AJN8321, 26.97 kg, Sobrepeso: No, Pagado: No aplica, Estado: Registrada
Carlos Torres, economica, AJN2918, 19.77 kg, Sobrepeso: No, Pagado: No aplica, Estado: Registrada
Luis Sanchez, economica, AJN8304, 20.29 kg, Sobrepeso: No, Pagado: No aplica, Estado: Registrada
Maria Gomez, economica, AJN2918, 16.91 kg, Sobrepeso: No, Pagado: No aplica, Estado: Registrada
Luis Rodriguez, ejecutiva, AJI3372, 22.81 kg, Sobrepeso: No, Pagado: No aplica, Estado: No registrada
Ana Lopez, ejecutiva, AJN2918, 32 kg, Sobrepeso: No, Pagado: No aplica, Estado: Registrada
Lucia Perez, ejecutiva, AJI8508, 39.43 kg, Sobrepeso: No, Pagado: No aplica, Estado: No registrada
Laura Fernandez, ejecutiva, AJI5899, 33.17 kg, Sobrepeso: No, Pagado: No aplica, Estado: No registrada
Maria Gomez, ejecutiva, AJI3372, 43.95 kg, Sobrepeso: No, Pagado: No aplica, Estado: No registrada
Carlos Lopez, ejecutiva, AJN3456, 30.34 kg, Sobrepeso: No, Pagado: No aplica, Estado: Registrada
Ana Gomez, ejecutiva, AJI9370, 27.97 kg, Sobrepeso: No, Pagado: No aplica, Estado: No registrada
